,Sample,Allele_frequency,Group
0,HG00096,0.004808,High
1,HG00097,0.067308,High
2,HG00099,0.072115,High
3,HG00100,0.048077,High
4,HG00101,0.072115,High
5,HG00102,0.057692,High
6,HG00103,0.048077,High
7,HG00104,0.072115,High
8,HG00106,0.028846,High
9,HG00108,0.072115,High
10,HG00109,0.0625,High
11,HG00110,0.0625,High
12,HG00111,0.048077,High
13,HG00112,0.0625,High
14,HG00113,0.048077,High
15,HG00114,0.028846,High
16,HG00116,0.0625,High
17,HG00117,0.033654,High
18,HG00118,0.072115,High
19,HG00119,0.028846,High
20,HG00120,0.043269,High
21,HG00121,0.076923,High
22,HG00122,0.033654,High
23,HG00123,0.067308,High
24,HG00124,0.038462,High
25,HG00125,0.033654,High
26,HG00126,0.038462,High
27,HG00127,0.067308,High
28,HG00128,0.067308,High
29,HG00129,0.057692,High
30,HG00130,0.067308,High
31,HG00131,0.086538,High
32,HG00133,0.024038,High
33,HG00134,0.0625,High
34,HG00135,0.052885,High
35,HG00136,0.028846,High
36,HG00137,0.048077,High
37,HG00138,0.043269,High
38,HG00139,0.076923,High
39,HG00140,0.0625,High
40,HG00141,0.0625,High
41,HG00142,0.067308,High
42,HG00143,0.0,High
43,HG00146,0.014423,High
44,HG00148,0.038462,High
45,HG00149,0.038462,High
46,HG00150,0.072115,High
47,HG00151,0.067308,High
48,HG00152,0.033654,High
49,HG00154,0.067308,High
50,HG00155,0.004808,High
51,HG00156,0.048077,High
52,HG00158,0.0625,High
53,HG00159,0.043269,High
54,HG00160,0.009615,High
55,HG00171,0.014423,High
56,HG00173,0.057692,High
57,HG00174,0.038462,High
58,HG00176,0.019231,High
59,HG00177,0.043269,High
60,HG00178,0.052885,High
61,HG00179,0.004808,High
62,HG00180,0.038462,High
63,HG00182,0.057692,High
64,HG00183,0.014423,High
65,HG00185,0.0625,High
66,HG00186,0.067308,High
67,HG00187,0.048077,High
68,HG00188,0.048077,High
69,HG00189,0.038462,High
70,HG00190,0.0625,High
71,HG00231,0.028846,High
72,HG00232,0.028846,High
73,HG00233,0.072115,High
74,HG00234,0.028846,High
75,HG00235,0.033654,High
76,HG00236,0.0625,High
77,HG00237,0.038462,High
78,HG00238,0.004808,High
79,HG00239,0.057692,High
80,HG00240,0.033654,High
81,HG00242,0.043269,High
82,HG00243,0.038462,High
83,HG00244,0.0625,High
84,HG00245,0.019231,High
85,HG00246,0.057692,High
86,HG00247,0.033654,High
87,HG00249,0.014423,High
88,HG00250,0.019231,High
89,HG00251,0.0625,High
90,HG00252,0.067308,High
91,HG00253,0.024038,High
92,HG00254,0.043269,High
93,HG00255,0.033654,High
94,HG00256,0.043269,High
95,HG00257,0.0625,High
96,HG00258,0.072115,High
97,HG00259,0.028846,High
98,HG00260,0.052885,High
99,HG00261,0.072115,High
100,HG00262,0.033654,High
101,HG00263,0.014423,High
102,HG00264,0.057692,High
103,HG00265,0.033654,High
104,HG00266,0.052885,High
105,HG00267,0.033654,High
106,HG00268,0.019231,High
107,HG00269,0.043269,High
108,HG00270,0.028846,High
109,HG00271,0.072115,High
110,HG00272,0.033654,High
111,HG00273,0.043269,High
112,HG00274,0.067308,High
113,HG00275,0.033654,High
114,HG00276,0.072115,High
115,HG00277,0.0625,High
116,HG00278,0.0625,High
117,HG00280,0.072115,High
118,HG00281,0.028846,High
119,HG00282,0.014423,High
120,HG00284,0.038462,High
121,HG00285,0.057692,High
122,HG00306,0.0625,High
123,HG00309,0.0625,High
124,HG00310,0.076923,High
125,HG00311,0.038462,High
126,HG00312,0.072115,High
127,HG00313,0.067308,High
128,HG00315,0.057692,High
129,HG00318,0.043269,High
130,HG00319,0.014423,High
131,HG00320,0.033654,High
132,HG00321,0.033654,High
133,HG00323,0.004808,High
134,HG00324,0.052885,High
135,HG00325,0.052885,High
136,HG00326,0.033654,High
137,HG00327,0.038462,High
138,HG00328,0.033654,High
139,HG00329,0.028846,High
140,HG00330,0.072115,High
141,HG00331,0.038462,High
142,HG00332,0.004808,High
143,HG00334,0.019231,High
144,HG00335,0.024038,High
145,HG00336,0.033654,High
146,HG00337,0.0625,High
147,HG00338,0.033654,High
148,HG00339,0.052885,High
149,HG00341,0.019231,High
150,HG00342,0.033654,High
151,HG00343,0.028846,High
152,HG00344,0.009615,High
153,HG00345,0.057692,High
154,HG00346,0.052885,High
155,HG00349,0.033654,High
156,HG00350,0.028846,High
157,HG00351,0.067308,High
158,HG00353,0.043269,High
159,HG00355,0.067308,High
160,HG00356,0.052885,High
161,HG00357,0.052885,High
162,HG00358,0.028846,High
163,HG00359,0.072115,High
164,HG00360,0.048077,High
165,HG00361,0.028846,High
166,HG00362,0.0625,High
167,HG00364,0.043269,High
168,HG00366,0.033654,High
169,HG00367,0.019231,High
170,HG00369,0.057692,High
171,HG00372,0.048077,High
