,Sample,Allele_frequency,Super_population,Group
0,HG00096,0.056561,EUR,High
1,HG00097,0.085219,EUR,High
2,HG00099,0.099548,EUR,High
3,HG00100,0.061840,EUR,High
4,HG00101,0.081448,EUR,High
5,HG00102,0.093514,EUR,High
6,HG00103,0.083710,EUR,High
7,HG00104,0.097285,EUR,High
8,HG00106,0.053544,EUR,High
9,HG00108,0.094268,EUR,High
10,HG00109,0.088989,EUR,High
11,HG00110,0.108597,EUR,High
12,HG00111,0.074661,EUR,High
13,HG00112,0.105581,EUR,High
14,HG00113,0.085219,EUR,High
15,HG00114,0.066365,EUR,High
16,HG00116,0.106335,EUR,High
17,HG00117,0.062594,EUR,High
18,HG00118,0.076169,EUR,High
19,HG00119,0.052036,EUR,High
20,HG00120,0.069382,EUR,High
21,HG00121,0.106335,EUR,High
22,HG00122,0.068627,EUR,High
23,HG00123,0.107843,EUR,High
24,HG00124,0.078431,EUR,High
25,HG00125,0.052790,EUR,High
26,HG00126,0.092006,EUR,High
27,HG00127,0.110106,EUR,High
28,HG00128,0.079940,EUR,High
29,HG00129,0.059578,EUR,High
30,HG00130,0.109351,EUR,High
31,HG00131,0.082202,EUR,High
32,HG00133,0.051282,EUR,High
33,HG00134,0.083710,EUR,High
34,HG00135,0.069382,EUR,High
35,HG00136,0.064103,EUR,High
36,HG00137,0.078431,EUR,High
37,HG00138,0.072398,EUR,High
38,HG00139,0.088235,EUR,High
39,HG00140,0.065611,EUR,High
40,HG00141,0.093514,EUR,High
41,HG00142,0.079940,EUR,High
42,HG00143,0.012066,EUR,High
43,HG00146,0.059578,EUR,High
44,HG00148,0.079940,EUR,High
45,HG00149,0.085973,EUR,High
46,HG00150,0.095023,EUR,High
47,HG00151,0.100302,EUR,High
48,HG00152,0.084465,EUR,High
49,HG00154,0.085219,EUR,High
50,HG00155,0.057315,EUR,High
51,HG00156,0.067873,EUR,High
52,HG00158,0.107843,EUR,High
53,HG00159,0.079940,EUR,High
54,HG00160,0.036199,EUR,High
55,HG00171,0.073906,EUR,High
56,HG00173,0.085219,EUR,High
57,HG00174,0.101056,EUR,High
58,HG00176,0.054299,EUR,High
59,HG00177,0.075415,EUR,High
60,HG00178,0.098039,EUR,High
61,HG00179,0.030166,EUR,High
62,HG00180,0.073152,EUR,High
63,HG00182,0.100302,EUR,High
64,HG00183,0.034691,EUR,High
65,HG00185,0.079186,EUR,High
66,HG00186,0.103318,EUR,High
67,HG00187,0.092760,EUR,High
68,HG00188,0.070136,EUR,High
69,HG00189,0.079186,EUR,High
70,HG00190,0.109351,EUR,High
71,HG00231,0.084465,EUR,High
72,HG00232,0.063348,EUR,High
73,HG00233,0.095777,EUR,High
74,HG00234,0.062594,EUR,High
75,HG00235,0.036199,EUR,High
76,HG00236,0.113122,EUR,High
77,HG00237,0.085973,EUR,High
78,HG00238,0.052036,EUR,High
79,HG00239,0.085219,EUR,High
80,HG00240,0.066365,EUR,High
81,HG00242,0.081448,EUR,High
82,HG00243,0.079186,EUR,High
83,HG00244,0.110106,EUR,High
84,HG00245,0.062594,EUR,High
85,HG00246,0.094268,EUR,High
86,HG00247,0.068627,EUR,High
87,HG00249,0.049020,EUR,High
88,HG00250,0.034691,EUR,High
89,HG00251,0.089744,EUR,High
90,HG00252,0.092006,EUR,High
91,HG00253,0.048265,EUR,High
92,HG00254,0.083710,EUR,High
93,HG00255,0.056561,EUR,High
94,HG00256,0.053544,EUR,High
95,HG00257,0.098793,EUR,High
96,HG00258,0.103318,EUR,High
97,HG00259,0.087481,EUR,High
98,HG00260,0.091252,EUR,High
99,HG00261,0.064857,EUR,High
100,HG00262,0.055807,EUR,High
101,HG00263,0.073906,EUR,High
102,HG00264,0.109351,EUR,High
103,HG00265,0.064857,EUR,High
104,HG00266,0.088989,EUR,High
105,HG00267,0.074661,EUR,High
106,HG00268,0.041478,EUR,High
107,HG00269,0.045249,EUR,High
108,HG00270,0.088989,EUR,High
109,HG00271,0.068627,EUR,High
110,HG00272,0.040724,EUR,High
111,HG00273,0.049020,EUR,High
112,HG00274,0.088235,EUR,High
113,HG00275,0.101056,EUR,High
114,HG00276,0.104072,EUR,High
115,HG00277,0.092760,EUR,High
116,HG00278,0.083710,EUR,High
117,HG00280,0.117647,EUR,High
118,HG00281,0.039216,EUR,High
119,HG00282,0.033937,EUR,High
120,HG00284,0.081448,EUR,High
121,HG00285,0.084465,EUR,High
122,HG00306,0.083710,EUR,High
123,HG00309,0.109351,EUR,High
124,HG00310,0.089744,EUR,High
125,HG00311,0.057315,EUR,High
126,HG00312,0.093514,EUR,High
127,HG00313,0.099548,EUR,High
128,HG00315,0.101810,EUR,High
129,HG00318,0.073152,EUR,High
130,HG00319,0.033183,EUR,High
131,HG00320,0.057315,EUR,High
132,HG00321,0.060332,EUR,High
133,HG00323,0.055807,EUR,High
134,HG00324,0.074661,EUR,High
135,HG00325,0.094268,EUR,High
136,HG00326,0.061840,EUR,High
137,HG00327,0.083710,EUR,High
138,HG00328,0.055053,EUR,High
139,HG00329,0.036953,EUR,High
140,HG00330,0.100302,EUR,High
141,HG00331,0.065611,EUR,High
142,HG00332,0.027903,EUR,High
143,HG00334,0.034691,EUR,High
144,HG00335,0.054299,EUR,High
145,HG00336,0.070136,EUR,High
146,HG00337,0.085219,EUR,High
147,HG00338,0.057315,EUR,High
148,HG00339,0.082202,EUR,High
149,HG00341,0.047511,EUR,High
150,HG00342,0.062594,EUR,High
151,HG00343,0.058069,EUR,High
152,HG00344,0.028658,EUR,High
153,HG00345,0.095777,EUR,High
154,HG00346,0.097285,EUR,High
155,HG00349,0.044495,EUR,High
156,HG00350,0.060332,EUR,High
157,HG00351,0.064857,EUR,High
158,HG00353,0.078431,EUR,High
159,HG00355,0.102564,EUR,High
160,HG00356,0.083710,EUR,High
161,HG00357,0.076169,EUR,High
162,HG00358,0.062594,EUR,High
163,HG00359,0.100302,EUR,High
164,HG00360,0.072398,EUR,High
165,HG00361,0.061840,EUR,High
166,HG00362,0.104827,EUR,High
167,HG00364,0.079186,EUR,High
168,HG00366,0.074661,EUR,High
169,HG00367,0.047511,EUR,High
170,HG00369,0.106335,EUR,High
171,HG00372,0.074661,EUR,High
172,HG00373,0.088989,EUR,High
173,HG00375,0.070136,EUR,High
174,HG00376,0.071644,EUR,High
175,HG00377,0.088989,EUR,High
176,HG00378,0.024887,EUR,High
177,HG00381,0.079940,EUR,High
178,HG00382,0.087481,EUR,High
179,HG00383,0.092760,EUR,High
180,HG00384,0.068627,EUR,High
181,HG00403,0.044495,ASN,Low
182,HG00404,0.102564,ASN,Low
183,HG00406,0.083710,ASN,Low
184,HG00407,0.102564,ASN,Low
185,HG00418,0.067119,ASN,Low
186,HG00419,0.095777,ASN,Low
187,HG00421,0.098039,ASN,Low
188,HG00422,0.103318,ASN,Low
189,HG00427,0.079940,ASN,Low
190,HG00428,0.092760,ASN,Low
191,HG00436,0.014329,ASN,Low
192,HG00437,0.085219,ASN,Low
193,HG00442,0.068627,ASN,Low
194,HG00443,0.095023,ASN,Low
195,HG00445,0.075415,ASN,Low
196,HG00446,0.055053,ASN,Low
197,HG00448,0.096531,ASN,Low
198,HG00449,0.053544,ASN,Low
199,HG00451,0.101810,ASN,Low
200,HG00452,0.061086,ASN,Low
201,HG00457,0.043741,ASN,Low
202,HG00458,0.060332,ASN,Low
203,HG00463,0.101056,ASN,Low
204,HG00464,0.043741,ASN,Low
